# RB2(SoH) generalisee gamma — min deg s.c. LPSP<=cap — 25 ans — metrics() commun
# REF RB2(0.45, 0.33) : LPSP_cap=2.4540%  deg_cible=65.42kEUR
phase;c_fc;c_ely;g_fc;g_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
1;0.475;0.310;1.0;0.0;0;2.7210;58.67;3.9408675799086756;12.609018264840183;17.93835616438356
1;0.450;0.310;0.0;0.0;0;2.6947;58.67;3.9172374429223744;12.592579908675798;17.90582191780822
1;0.450;0.320;1.0;1.0;0;2.6776;58.68;3.9146118721461187;12.596575342465753;19.006963470319633
1;0.450;0.320;2.0;1.0;0;2.8230;59.03;3.910730593607306;12.634931506849314;18.790182648401824
1;0.475;0.310;2.0;0.0;0;2.7331;59.05;3.9381278538812783;12.62283105022831;17.724885844748858
2;0.455;0.320;0.0;0.5;0;2.6587;59.05;3.9215753424657533;12.582648401826484;16.996004566210043
1;0.450;0.310;1.0;0.0;0;2.6328;59.07;3.9143835616438354;12.596575342465753;17.667465753424658
1;0.500;0.320;0.0;0.0;0;3.3662;59.10;3.9707762557077624;12.673059360730592;15.609817351598172
2;0.450;0.320;0.0;0.5;0;2.5937;59.15;3.9187214611872143;12.570662100456621;16.949657534246576
2;0.445;0.320;0.0;0.5;0;2.5626;59.25;3.9146118721461187;12.565068493150685;16.892009132420092
2;0.455;0.320;0.5;0.5;0;2.5300;59.28;3.920091324200913;12.557077625570775;16.960616438356166
2;0.440;0.320;0.0;0.5;0;2.5475;59.36;3.9106164383561643;12.563584474885845;16.834132420091322
1;0.500;0.330;0.0;1.0;0;3.2861;59.39;3.970890410958904;12.665068493150685;15.96324200913242
2;0.450;0.320;0.5;0.5;0;2.5547;59.41;3.9162100456621003;12.560844748858447;16.831392694063926
1;0.450;0.310;2.0;0.0;0;2.8175;59.41;3.9106164383561643;12.634931506849314;17.47294520547945
2;0.445;0.320;0.5;0.5;0;2.5818;59.46;3.9133561643835617;12.574543378995433;16.842351598173515
2;0.440;0.320;0.5;0.5;0;2.6128;59.55;3.909132420091324;12.589840182648402;16.80673515981735
1;0.500;0.320;1.0;0.0;0;2.8429;59.69;3.9646118721461185;12.639155251141553;15.516780821917807
1;0.475;0.320;0.0;0.0;0;2.9275;59.82;3.9462328767123287;12.662328767123288;15.33310502283105
1;0.500;0.340;0.0;2.0;0;3.4602;59.83;3.966552511415525;12.69783105022831;16.626369863013696
1;0.500;0.330;1.0;1.0;0;2.8775;59.91;3.9640410958904106;12.647374429223744;15.878424657534246
1;0.475;0.330;0.0;1.0;0;2.8973;60.03;3.9447488584474883;12.65958904109589;15.771575342465752
1;0.500;0.320;2.0;0.0;0;2.6857;60.10;3.959931506849315;12.611757990867579;15.470205479452055
1;0.475;0.320;1.0;0.0;0;2.5670;60.22;3.9421232876712327;12.578881278538812;15.335958904109589
2;0.455;0.320;0.0;0.0;0;2.5700;60.22;3.9227168949771687;12.56917808219178;15.270091324200912
1;0.500;0.340;1.0;2.0;0;2.9578;60.22;3.959931506849315;12.658333333333333;16.595890410958905
1;0.500;0.330;2.0;1.0;0;2.6980;60.23;3.959931506849315;12.598059360730593;15.900342465753424
2;0.455;0.325;0.0;0.5;0;2.5829;60.24;3.924429223744292;12.571803652968036;15.497602739726027
1;0.475;0.340;0.0;2.0;0;2.9689;60.26;3.940753424657534;12.667808219178081;16.549657534246574
1;0.450;0.320;0.0;0.0;0;2.5246;60.35;3.918835616438356;12.559360730593607;15.215068493150685
2;0.450;0.325;0.0;0.5;0;2.5396;60.35;3.9199771689497718;12.56255707762557;15.459246575342465
1;0.475;0.330;1.0;1.0;0;2.5596;60.37;3.9418949771689498;12.570662100456621;15.785159817351598
2;0.445;0.325;0.0;0.5;0;2.5235;60.46;3.9160958904109586;12.559246575342465;15.43173515981735
2;0.455;0.325;0.5;0.5;0;2.5147;60.46;3.9215753424657533;12.557077625570775;15.451027397260274
1;0.500;0.340;2.0;2.0;0;2.7598;60.48;3.9554794520547945;12.592579908675798;16.60445205479452
2;0.455;0.320;0.5;0.0;0;2.4966;60.48;3.9203196347031963;12.557077625570775;15.20148401826484
2;0.445;0.320;0.0;0.0;0;2.5042;60.48;3.9146118721461187;12.557077625570775;15.166095890410958
