# RB2(SoH) generalisee SoH^gamma — 25 ans — estimateur metrics() commun
# RB2 = sous-ensemble (g_fc=g_ely=0) ; RB2(SoH) = (g_fc=g_ely=1)
# REF_RB2=(0.45, 0.33) -> LPSP_nominale=2.4540%
c_fc;c_ely;g_fc;g_ely;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
0.400;0.330;0.0;1.0;2.8666;61.21;3.8833333333333333;12.673059360730592;15.566095890410958
0.400;0.330;0.0;0.0;2.8746;65.14;3.8844748858447486;12.673059360730592;12.938698630136987
0.400;0.330;0.0;2.0;2.8808;58.37;3.885958904109589;12.673059360730592;20.801255707762557
0.400;0.300;0.0;1.0;2.8809;56.80;3.8817351598173513;12.673059360730592;None
0.475;0.300;1.0;0.0;2.8852;57.83;3.930365296803653;12.650456621004565;20.82865296803653
0.475;0.330;0.0;1.0;2.8973;60.03;3.9447488584474883;12.65958904109589;15.771575342465752
0.550;0.400;0.0;1.0;2.8986;85.63;4.032191780821917;12.696689497716894;5.790639269406393
0.475;0.330;1.0;2.0;2.9158;57.54;3.9434931506849313;12.595319634703197;21.771461187214612
0.550;0.360;1.0;0.0;2.9378;76.02;4.020205479452055;12.650456621004565;7.5332191780821915
0.400;0.450;1.0;0.0;2.9398;89.12;3.8487442922374426;12.663812785388128;5.434246575342466
0.475;0.300;2.0;1.0;2.9475;55.82;3.9253424657534244;12.647374429223744;None
0.400;0.450;1.0;1.0;2.9586;86.88;3.8534246575342466;12.663812785388128;5.823059360730594
0.400;0.450;1.0;2.0;2.9921;84.04;3.854337899543379;12.663812785388128;6.3410958904109584
0.400;0.400;1.0;0.0;3.0093;81.03;3.8597031963470316;12.663812785388128;6.77945205479452
0.400;0.360;1.0;1.0;3.0131;69.65;3.8595890410958904;12.663812785388128;10.278196347031963
0.400;0.360;1.0;0.0;3.0171;72.90;3.8595890410958904;12.663812785388128;8.973858447488585
0.400;0.400;1.0;2.0;3.0268;75.51;3.8625570776255707;12.663812785388128;8.3412100456621
0.400;0.360;1.0;2.0;3.0338;66.78;3.8625570776255707;12.663812785388128;12.245433789954337
0.400;0.400;1.0;1.0;3.0338;78.33;3.862442922374429;12.663812785388128;7.407077625570776
0.400;0.300;0.0;2.0;3.0369;55.11;3.8817351598173513;12.673059360730592;None
0.400;0.300;1.0;0.0;3.0387;59.03;3.8804794520547943;12.663812785388128;19.3439497716895
0.400;0.330;1.0;1.0;3.0601;61.37;3.88162100456621;12.663812785388128;15.60970319634703
0.400;0.330;1.0;0.0;3.0743;64.73;3.88310502283105;12.663812785388128;13.173858447488584
0.550;0.360;2.0;2.0;3.0751;67.20;4.009246575342465;12.67214611872146;11.07568493150685
0.400;0.330;1.0;2.0;3.0781;58.62;3.8832191780821916;12.663812785388128;20.645205479452056
0.400;0.300;1.0;1.0;3.0792;57.20;3.880365296803653;12.663812785388128;24.604337899543378
0.550;0.330;2.0;0.0;3.0801;63.86;4.007648401826484;12.673059360730592;12.954908675799086
0.400;0.450;2.0;0.0;3.1198;87.75;3.8460045662100457;12.66107305936073;5.560273972602739
0.400;0.450;2.0;1.0;3.1381;85.54;3.8486301369863014;12.66107305936073;5.938698630136986
0.400;0.300;1.0;2.0;3.1655;55.53;3.880365296803653;12.663812785388128;None
0.475;0.300;1.0;1.0;3.1693;55.21;3.9281963470319634;12.677168949771689;None
